Appliances,Lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint
60,20,19.79,46.79,19.2,45.3266666667,20.1666666667,45.29,19.29,46.5966666667,18.23,50.8333333333,4.9333333333,96.09,17.89,45.52,18.9266666667,53.8,17.2,49.9633333333,5.1,741.3333333333,92.3333333333,5,32.6666666667,4
60,20,19.79,46.895,19.175,45.195,20.1,45.29,19.26,46.2966666667,18.2,51.2666666667,5,96.09,17.89,45.14,18.9725,53.15,17.2,49.7233333333,5.1,741.45,92,5,34.5,3.95
70,20,19.79,47.4266666667,19.1,45.03,20.1,45.29,19.2,46.09,18.2,51.5266666667,5,96.09,17.8566666667,44.8333333333,18.89,52.8,17.2,49.4633333333,5.1,741.5666666667,91.6666666667,5,36.3333333333,3.9
60,30,19.79,48.3666666667,19.1,45,20.1,45.29,19.1666666667,45.9666666667,18.1,51.8266666667,5,96.09,17.79,44.5666666667,18.8566666667,52.3633333333,17.15,48.995,5.1,741.6833333333,91.3333333333,5,38.1666666667,3.85
140,20,19.79,48.6666666667,19.1,45,20.2,45.29,19.1666666667,45.9,18.1,51.9666666667,5.06,96.1566666667,17.79,44.3266666667,18.79,51.9633333333,17.1,48.6333333333,5.1,741.8,91,5,40,3.8
110,30,19.79,48.5333333333,19.0666666667,45.06,20.1333333333,45.29,19.2,45.76,18.1,52.1266666667,5.09,96.0266666667,17.8566666667,44.66,18.79,51.6333333333,17.1,48.36,5.05,741.8833333333,91,5,40,3.7333333333
90,10,19.89,50,19.0222222222,45.0444444444,20.15,45.245,19.2,45.6266666667,18.0333333333,52.2,5.09,95.76,18,45.0633333333,18.79,51.395,17.1,48.0266666667,5,741.9666666667,91,5,40,3.6666666667
60,0,19.89,48.7333333333,19.1,45.2,20.1,45.2,19.1,45.5266666667,18.05,52.4,5,95.4566666667,18,44.4566666667,18.7,51.045,17.1,47.7666666667,4.95,742.05,91,5,40,3.6
60,0,19.89,48.0266666667,19.0333333333,45.1266666667,20.1,45.2,19.1,45.4,18,52.5,4.7933333333,94.79,17.89,43.96,18.7,50.76,17.1,47.4666666667,4.9,742.1333333333,91,5,40,3.5333333333
60,0,19.89,47.6333333333,19,45.09,20.1,45.2,19.1,45.3633333333,18,52.56,4.4666666667,94.1933333333,17.89,43.5666666667,18.7,50.645,17.0333333333,47.2666666667,4.85,742.2166666667,91,5,40,3.4666666667
50,0,19.8566666667,47.0633333333,19,45.03,20.1,45.2,19.1,45.23,18,52.79,4.2975,94.45,17.8566666667,43.1,18.7,50.42,17,46.93,4.8,742.3,91,5,40,3.4
60,0,19.79,46.6566666667,19,44.9666666667,20.1,45.1633333333,19.1,45.09,17.9266666667,52.79,4.0633333333,94.1933333333,17.79,42.7666666667,18.6333333333,50.1566666667,17.0666666667,46.79,4.8833333333,742.3833333333,91,5,38.1666666667,3.4833333333
50,0,19.79,46.3333333333,19,44.8266666667,20.1,45.09,19.1,44.9666666667,17.89,52.76,4.03,94.6666666667,17.79,42.43,18.6666666667,50.0266666667,17.0333333333,46.59,4.9666666667,742.4666666667,91,5,36.3333333333,3.5666666667
30,0,19.79,46.0666666667,19,44.645,20.1,45.1633333333,19.0333333333,44.7666666667,17.89,52.0333333333,4.09,95,17.79,42.23,18.6,49.8266666667,17.0333333333,46.39,5.05,742.55,91,5,34.5,3.65
40,0,19.76,45.8633333333,18.9633333333,44.56,20.0333333333,44.9633333333,19,44.6633333333,18,50.9,4.1233333333,95.3966666667,17.7,41.9666666667,18.6,49.6633333333,17,46.1633333333,5.1333333333,742.6333333333,91,5,32.6666666667,3.7333333333
30,0,19.7,45.79,18.9633333333,44.4333333333,20,44.9,19.0666666667,44.59,18,50.4266666667,4.2633333333,95.7966666667,17.7,41.8266666667,18.6,49.59,17,46.03,5.2166666667,742.7166666667,91,5,30.8333333333,3.8166666667
260,0,19.7,45.6633333333,18.89,44.29,20,44.9,19.1,44.6933333333,18,49.93,4.4633333333,96.26,17.7,41.6633333333,18.6,49.4666666667,17,45.8633333333,5.3,742.8,91,5,29,3.9
500,0,19.7,45.59,18.89,44.23,19.89,44.9,19.1666666667,45.0266666667,18,49.6566666667,4.73,96.4666666667,17.7,41.59,18.5333333333,49.4,17,45.73,5.4833333333,742.8833333333,90.1666666667,5,30.8333333333,3.95
450,0,19.73,47.7933333333,18.9266666667,44.23,19.89,44.9,19.36,45.36,18,49.5,5.03,96.56,17.7,41.5,18.5,49.26,17,45.6633333333,5.6666666667,742.9666666667,89.3333333333,5,32.6666666667,4
50,10,19.79,48.7933333333,19,44.3633333333,19.89,44.8633333333,19.6933333333,45.56,18,49.56,5.1566666667,96.5,17.7,41.4,18.5,49.2,17,45.4633333333,5.85,743.05,88.5,5,34.5,4.05
60,0,19.89,47.94,19.0333333333,44.5666666667,19.9633333333,44.8633333333,20,45.1333333333,18.0333333333,49.6266666667,5.3333333333,96.56,17.7,41.3266666667,18.5,49.09,17.0333333333,45.29,6.0333333333,743.1333333333,87.6666666667,5,36.3333333333,4.1
60,0,19.89,47.16,19.0333333333,44.5666666667,19.9266666667,44.79,20.0666666667,44.86,18.1,49.5666666667,5.4,96.2933333333,17.7,41.26,18.5,49.09,17.0333333333,45.23,6.2166666667,743.2166666667,86.8333333333,5,38.1666666667,4.15
50,0,19.89,46.7666666667,19.0333333333,44.5,20,44.79,20.1333333333,44.7,18.0333333333,49.3266666667,5.53,96.19,17.7,41.2,18.5,49,17.05,45.245,6.4,743.3,86,5,40,4.2
50,0,20,46.2966666667,19.1,44.5,20,44.79,20.2,44.6266666667,18.1,49.3266666667,5.7966666667,96.19,17.73,41.0266666667,18.5,48.9333333333,17.1,45.29,6.5,743.3333333333,85.1666666667,5.3333333333,38,4.1666666667
50,0,20,45.9633333333,19.1,44.4666666667,19.9266666667,44.79,20.2,44.59,18.1,49.26,5.8333333333,95.0233333333,17.79,40.9,18.4266666667,48.59,17.1,45.23,6.6,743.3666666667,84.3333333333,5.6666666667,36,4.1333333333
60,0,20,46.2233333333,19.1,44.4,19.945,44.79,20.1333333333,44.4633333333,18.1,49.1266666667,5.9666666667,94.5633333333,17.79,40.7,18.5,48.4633333333,17.1,45.2,6.7,743.4,83.5,6,34,4.1
60,0,20,45.9633333333,19.1,44.29,19.89,44.76,20.1,44.1633333333,18.1,49.09,6.245,93.745,17.8566666667,40.6266666667,18.5,48.19,17.1,45.1266666667,6.8,743.4333333333,82.6666666667,6.3333333333,32,4.0666666667
60,0,20,45.7233333333,19.15,44.245,19.89,44.7,20.1,44.03,18.1,49,6.4333333333,91.23,17.8233333333,40.4666666667,18.5,47.9666666667,17.1,45.2,6.9,743.4666666667,81.8333333333,6.6666666667,30,4.0333333333
60,0,20,45.6633333333,19.2,44.2,19.9633333333,44.7,20.0333333333,43.9,18.1,48.9333333333,6.5,88.8966666667,17.89,40.3266666667,18.5666666667,47.8266666667,17.1,45.2,7,743.5,81,7,28,4
190,0,20.0333333333,45.5,19.2,44.1266666667,19.9633333333,44.7,20.0333333333,43.6933333333,18.0666666667,49,6.59,85.4633333333,17.9175,40.24,18.5666666667,47.59,17.1,45.06,7.0833333333,743.5,80.6666666667,7,30,4.0166666667
